StarCraft II,PC,Strategia,Blizzard,2010,https://as01.epimg.net/meristation/imagenes/2017/03/09/game_cover/1489078800.jpg
Castlevania,PS,Acción/Aventura,Konami,1997,https://as01.epimg.net/meristation/imagenes/2017/02/11/game_cover/1486803600.jpg
Super Metroid,SNES,Acción/Plataformas,Nintendo,1994,https://as01.epimg.net/meristation/imagenes/2018/06/28/game_cover/1530169562_016986.jpg
The Legend of Zelda: Skyward Sword,Wii,Acción/Aventura,Nintendo,2011,https://as01.epimg.net/meristation/imagenes/2017/09/12/game_cover/1505232000.jpg
Independence War 2,PC,Simulación,Particle Systems,2001,https://www.mobygames.com/images/covers/l/73959-independence-war-2-edge-of-chaos-windows-front-cover.jpg
The last of us,PS4,Acción/Aventura,Naughty Dog,2014,https://as01.epimg.net/meristation/imagenes/2018/07/02/game_cover/1530504686_504686_019713_gameplatform.jpg
Dota 2,PC,Estrategia,Valve,2013,https://as01.epimg.net/meristation/imagenes/2017/09/26/game_cover/1506445200.jpg
Soulcalibur,DC,Acción,Namco,1998,https://as01.epimg.net/meristation/imagenes/2017/04/20/game_cover/1492646400.jpg
Unreal Tournament,PC,Simulación,Epic Games,2001,https://as01.epimg.net/meristation/imagenes/2016/10/15/game_cover/1476504000.jpg
Grand Theft Auto IV,PS3/360/PC,Acción/Aventura,Rockstar,2008,https://as01.epimg.net/meristation/imagenes/2016/11/16/game_cover/1479326400.jpg
